,Reviews
176,"




                    The media could not be loaded.
                



 I am gamer who is playing mostly all the games in mobile phone like bgmi Minecraft etc in 15 k segment phones it's pretty good to get upgrade in this if you are a gamer just remember it's battery not last much long and rest is great camera is good. On a 100 %charge if you play  bgmi it take your phone to 40 % in just 3-4 games I am a bgmi player for 3 years now and I haven't seen this much battery loss in just 3 games . Rest of the features of the phone are great like finger print sensor is fast and camera is also great 👍
"
177,"
Review on 1st dayThe phone is superb amazing with camera,sound,the famous ""Oxygen Os"" the first day didn't disappoint me although i will write agai after 15 days of usage but till now it's amazing .After 15days- The phone is amazing from top to bottom just that you don't compare cameras to another high price phone i felt the night shits were not that clear but it was bright and day time photos are very fine overall after 15days of continuous usage the phone is solid . Great 1+
"
178,"
Finger print sensor is not fast.Issues with data and wifi connectivity.Every screen ..even file manager takes time to load everytime.Suddenly the phone resets to the homescreen anytime.Nothing like other OnePlus Phones.They reduced the quality with the price
"
179,"
I have been using this phone for the past 3 to 4 days so I noticed a few pros and cons:Pros :1. light weight and the slimmest one2. Fast charging3. Offcourse very good display for Netflix and Amazon.4. Good performance not even a slightest lag I faced.5. Oxygen OS so no bloatware and ads.Cons:1. Camera is not that good and not that bad...average.2. Phone gets warmer while playing games and also while charging specifically between 20 to 80%.That is also I could notice.
"
180,"
Not a good one .  And also Amazon focused on sales only not focused on customer satisfaction..becz I am suffering with this mobile 10th day of my new mobile using... again bad experience with Amazon Amazon
"
181,"
I bought the phone on 28th Feb.What's good.Performance/speedDisplayFast chargingSpeaker ( Better than YouTube review)What's badCamera (real disappointment).Don't buy if you use camera for selfies.
"
182,"
Design & in-hand fells are looks premium & glosssy back fells glass but it's shiny plastic body! lite Weight phoneDISPLAY is Ok ok type not feels amoled & it's really smooth 90hz If u watching in full screen Cricket aur any videos side banners are Cuts 👎 really hate thisBATTERY will be easily 1 days Battery backup in full charge & fast charging is best 0-100 in 37min that's greatCAMERA is good no complanesPERFORMANCE is Good u full enjoy any type of games & no lagMISSING some extra features OP alert slider , glass Back , sterio speakers, 120hz refresh rate
"
183,"
*Positives*- The size is perfect. Those 6.67 inches is too big to hold.- light weight- amoled- ambient display- in display fingerprint- processor- 5g- built in Alexa- look and feel- design- 67 watt charging- camera designNegatives- Camera is not that good. I exchange this for poco X2 which has a lot lot better camera than this.
"
184,"
Recommended for casual use. Quick battery charge, battery life's for a day considering high usage of 8-9hrs. As it is oxygen OS no bloatware issues. Screen touch works good, no delay seen.Disappointment is,- Android 11 ver.- Slight scratches on backcase. Ignorable, though matters.- Uniqueness mark of the brand is missing.Cons,- Camera quality not upto the mark.- Low sound.- Battery heats up very quickly while using high utilisation apps.- Can't use hotspot for morethan 2hrs, again battery issue.- Not recommended for gamers.
"
185,"
Everything went well until I opened the camera seriously!!! Are you sure it have 64mp Cam wow it's a freaking scam 🤷‍♂ can't believe I payed 25k for the crap don't get me wrong display is awesome battery life is good front camera is OK for 16 MP but I really can't get over the back camera don't buy it if you interested in camera ✋
"
